"","lon","lat","AOD","DQF","hour"
"169",-70.16408,43.511868,0.864619462248811,1,16
"170",-70.1377,43.512444,0.878628142716479,1,16
"171",-70.111374,43.51274,0.984105266237748,1,16
"172",-70.08506,43.51296,0.912139103835216,1,16
"173",-70.05873,43.51321,0.821220020799956,1,16
"174",-70.0324,43.513485,0.939790224758326,1,16
"175",-70.00608,43.51371,0.984654626256088,1,16
"414",-70.32458,43.480587,0.699994576752943,1,16
"415",-70.29827,43.480873,0.81041594043927,1,16
"416",-70.271996,43.481014,0.72224365749571,1,16
"417",-70.24566,43.481533,0.821952500824409,1,16
"420",-70.16676,43.48221,0.848047101695556,1,16
"421",-70.14043,43.48266,0.955446985281014,1,16
"422",-70.11412,43.482925,0.920287944107258,1,16
"423",-70.087814,43.483162,0.834496221243171,1,16
"424",-70.06151,43.483425,0.835320261270681,1,16
"425",-70.03516,43.4839,0.812979620524857,1,16
"426",-70.00885,43.484116,0.877071622664516,1,16
"665",-70.32717,43.450985,0.864436342242698,1,16
"666",-70.30088,43.4513,0.835411821273738,1,16
"669",-70.22209,43.45171,0.835411821273738,1,16
"670",-70.19575,43.4523,0.920379504110315,1,16
"671",-70.1695,43.452286,0.886227622970182,1,16
"672",-70.14316,43.45287,0.837243021334871,1,16
"673",-70.11687,43.453136,0.90655394364876,1,16
"674",-70.09057,43.453377,0.96185618549498,1,16
"675",-70.06428,43.453636,1.04874662839575,1,16
"676",-70.03794,43.454086,0.963046465534717,1,16
"677",-70.01165,43.454334,0.939973344764439,1,16
"916",-70.32976,43.421413,0.761889138819242,1,16
"917",-70.303474,43.421734,1.03455482792197,1,16
"922",-70.172134,43.422913,0.709699937076948,1,16
"923",-70.14586,43.42319,0.838433301374607,1,16
"924",-70.11958,43.42346,0.882931462860142,1,16
"925",-70.09331,43.423706,0.890073143098562,1,16
"926",-70.067024,43.423958,0.878536582713423,1,16
"927",-70.04071,43.42441,1.04984534843243,1,16
"1167",-70.332375,43.391575,0.706770016979135,1,16
"1168",-70.30612,43.39186,0.977329826011555,1,16
"1417",-70.36122,43.361576,0.641029934784456,1,16
"1418",-70.33498,43.361923,0.795674779947149,1,16
"1419",-70.30872,43.362213,0.806753540317004,1,16
"1667",-70.39002,43.331627,0.757952058687806,1,16
"1668",-70.36376,43.332153,0.727004777654656,1,16
"1669",-70.337524,43.33247,0.729934697752469,1,16
"1670",-70.311295,43.33281,0.787068139659823,1,16
"1917",-70.41877,43.301834,0.69651529663679,1,16
"1918",-70.392586,43.301952,0.706129096957739,1,16
